--------------------------------
OBJECT STRUCTURES (4 bytes each)
--------------------------------
OBJECT   = pointers to palettes/sprites & animations/molds
	   byte 1,2  palette/GFX pointer
	   (bytes AND #$01FF) * 4 + 251800 = offset of pointers
	   byte 3,4  mold + animation sequence pointer

PTRS --- = pointers to whatever follows the ---
PAL      = object's palette
MOLD     = object's mold
GFX      = object's uncompressed sprite graphics

   ///==========\
 ///  CHARACTERS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
----------------------------------------------------------------------------------------
250000 | 251C78 | 257998 | 30C4C0 | 2522CD | 27E606 | [000] | Mario (walking, down-left)
250DB8 | 251800 | 253000 | 280000 | 252000 | 259000 | [36E] | ....
250DBC | 251800 | 253000 | 280000 | 252000 | 259000 | [36F] | ....
250DC0 | 251800 | 253000 | 280000 | 252000 | 259000 | [370] | ....
250DC4 | 251800 | 253000 | 280000 | 252000 | 259000 | [371] | ....
250DC8 | 251800 | 253000 | 280000 | 252000 | 259000 | [372] | ....
250DCC | 251800 | 253000 | 280000 | 252000 | 259000 | [373] | ....
250DD0 | 251800 | 253000 | 280000 | 252000 | 259000 | [374] | ....
250DD4 | 251800 | 253000 | 280000 | 252000 | 259000 | [375] | ....
250DD8 | 251800 | 253000 | 280000 | 252000 | 259000 | [376] | ....
250DDC | 251800 | 253000 | 280000 | 252000 | 259000 | [377] | ....
250DE0 | 251800 | 253000 | 280000 | 252000 | 259000 | [378] | ....
250DE4 | 251800 | 253000 | 280000 | 252000 | 259000 | [379] | ....
250DE8 | 251800 | 253000 | 280000 | 252000 | 259000 | [37A] | ....
250DEC | 251800 | 253000 | 280000 | 252000 | 259000 | [37B] | ....
250DF0 | 251800 | 253000 | 280000 | 252000 | 259000 | [37C] | ....
250DF4 | 251800 | 253000 | 280000 | 252000 | 259000 | [37D] | ....
250DF8 | 251800 | 253000 | 280000 | 252000 | 259000 | [37E] | ....
250DFC | 251800 | 253000 | 280000 | 252000 | 259000 | [37F] | ....
250E00 | 251800 | 253000 | 280000 | 252000 | 259000 | [380] | ....
250E04 | 251800 | 253000 | 280000 | 252000 | 259000 | [381] | ....
250E08 | 251800 | 253000 | 280000 | 252000 | 259000 | [382] | ....
250E0C | 251800 | 253000 | 280000 | 252000 | 259000 | [383] | ....
250E10 | 251800 | 253000 | 280000 | 252000 | 259000 | [384] | ....
250E14 | 251800 | 253000 | 280000 | 252000 | 259000 | [385] | ....
250E18 | 251800 | 253000 | 280000 | 252000 | 259000 | [386] | ....
250E1C | 251800 | 253000 | 280000 | 252000 | 259000 | [387] | ....
250E20 | 251800 | 253000 | 280000 | 252000 | 259000 | [388] | ....
250E24 | 251800 | 253000 | 280000 | 252000 | 259000 | [389] | ....
250E28 | 251800 | 253000 | 280000 | 252000 | 259000 | [38A] | ....
250E2C | 251800 | 253000 | 280000 | 252000 | 259000 | [38B] | ....
250E30 | 251800 | 253000 | 280000 | 252000 | 259000 | [38C] | ....
250E34 | 251800 | 253000 | 280000 | 252000 | 259000 | [38D] | ....
250E38 | 251800 | 253000 | 280000 | 252000 | 259000 | [38E] | ....
250E3C | 251800 | 253000 | 280000 | 252000 | 259000 | [38F] | ....
250E40 | 251800 | 253000 | 280000 | 252000 | 259000 | [390] | ....
250E44 | 251800 | 253000 | 280000 | 252000 | 259000 | [391] | ....
250E48 | 251800 | 253000 | 280000 | 252000 | 259000 | [392] | ....
250E4C | 251800 | 253000 | 280000 | 252000 | 259000 | [393] | ....
250E50 | 251800 | 253000 | 280000 | 252000 | 259000 | [394] | ....
250E54 | 251800 | 253000 | 280000 | 252000 | 259000 | [395] | ....
250E58 | 251800 | 253000 | 280000 | 252000 | 259000 | [396] | ....
250E5C | 251800 | 253000 | 280000 | 252000 | 259000 | [397] | ....
250E60 | 251800 | 253000 | 280000 | 252000 | 259000 | [398] | ....
250E64 | 251800 | 253000 | 280000 | 252000 | 259000 | [399] | ....
250E68 | 251800 | 253000 | 280000 | 252000 | 259000 | [39A] | ....
250E6C | 251800 | 253000 | 280000 | 252000 | 259000 | [39B] | ....
250E70 | 251800 | 253000 | 280000 | 252000 | 259000 | [39C] | ....
250E74 | 251800 | 253000 | 280000 | 252000 | 259000 | [39D] | ....
250E78 | 251800 | 253000 | 280000 | 252000 | 259000 | [39E] | ....
250E7C | 251800 | 253000 | 280000 | 252000 | 259000 | [39F] | ....
=======================================================================

   ///==============\
 ///  ENDING CREDITS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
----------------------------------------------------------------------------
250E80 | 251CB8 | 257FCE | 320000 | 2524D7 | 36C8FE | [3A0] | marching Luigi
250E84 | 251CE0 | 258352 | 3291A0 | 2524DA | 36C960 | [3A1] | marching Toads
250E88 | 251CE4 | 25838E | 329AA0 | 2524DD | 36CB8B | [3A2] | conducting Toadofsky
250E8C | 251CE8 | 2583CA | 329D20 | 2524E0 | 36CBED | [3A3] | waving Mallow
250E90 | 251CBC | 25800A | 320280 | 2524E3 | 36CCBE | [3A4] | waving King & Queen Nimbus
250E94 | 251CEC | 258406 | 32A1E0 | 2524E6 | 36CD0C | [3A5] | Nimbus Busman, Lakitu & Frogfucius
250E98 | 251CF0 | 258442 | 32A5E0 | 2524E9 | 36CD85 | [3A6] | Tadpole
250E9C | 251CF4 | 25847E | 32A8E0 | 2524EC | 36CE11 | [3A7] | trumpeting Piranhas
250EA0 | 251CF8 | 2584BA | 32B060 | 2524EF | 36D08D | [3A8] | Mole miners & star
250EA4 | 251CFC | 2584F6 | 32B260 | 2524F2 | 36D11B | [3A9] | Dyna & Mite
250EA8 | 251D00 | 258532 | 32B400 | 2524F5 | 36D254 | [3AA] | Hammer Bros & Chomps
250EAC | 251D04 | 25856E | 32B740 | 2524F8 | 36D461 | [3AB] | Crook & Croco
250EB0 | 251D08 | 2585AA | 32BC60 | 2524FB | 36D5BF | [3AC] | Bowser in helicopter chasing
250EB4 | 251D0C | 2585E6 | 32C1C0 | 2524FE | 36D6DC | [3AD] | Dodo carrying Valentina
250EB8 | 251CB4 | 257FB0 | 31FE40 | 252501 | 36D955 | [3AE] | red balloon
250EBC | 251D10 | 258622 | 32CB60 | 252504 | 36D9C1 | [3AF] | Booster riding train
250EC0 | 251B54 | 256912 | 2DF4E0 | 252507 | 36DAD1 | [3B0] | Snifits chasing beetle
250EC4 | 251D14 | 258640 | 32D080 | 25250A | 36DC69 | [3B1] | bouncing Shysters
250EC8 | 251D18 | 25867C | 32D2C0 | 25250D | 36E113 | [3B2] | Mack, Yaridovich, Bowyer
250ECC | 251D1C | 2586B8 | 32DA00 | 252510 | 36E215 | [3B3] | Smithy
250ED0 | 251D20 | 2586F4 | 32E220 | 252513 | 36E3D3 | [3B4] | Johnny & mates
250ED4 | 251D24 | 25874E | 32E680 | 252516 | 36E4A8 | [3B5] | blue/red/green Toads
250ED8 | 251D28 | 2587E4 | 32E800 | 252519 | 36E58B | [3B6] | riding Yoshi
250EDC | 251D2C | 25887A | 32EA40 | 25251C | 36E676 | [3B7] | waving Mario & Toadstool
250EE0 | 251808 | 2530F0 | 281060 | 25251F | 36E744 | [3B8] | sparkle
250EE4 | 251D30 | 2588B6 | 32EF40 | 252522 | 36E77E | [3B9] | poof
250EE8 | 251D34 | 2588D4 | 32F040 | 252525 | 36E827 | [3BA] | purple firework
250EEC | 251D38 | 2588F2 | 32F6E0 | 252528 | 36EB25 | [3BB] | smaller red firework
250EF0 | 251D3C | 258910 | 32FA40 | 25252B | 36ECF1 | [3BC] | normal yellow 5-pronged star
250EF4 | 251D40 | 25892E | 32FC00 | 25252E | 36EE39 | [3BD] | brown object dissipating
250EF8 | 251D44 | 258A00 | 32FEC0 | 252531 | 36F0E9 | [3BE] | tiny glowing pixel
250EFC | 251800 | 253000 | 280000 | 252000 | 259000 | [3BF] | ....
250F00 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C0] | ....
250F04 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C1] | ....
250F08 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C2] | ....
250F0C | 251800 | 253000 | 280000 | 252000 | 259000 | [3C3] | ....
250F10 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C4] | ....
250F14 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C5] | ....
250F18 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C6] | ....
250F1C | 251800 | 253000 | 280000 | 252000 | 259000 | [3C7] | ....
250F20 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C8] | ....
250F24 | 251800 | 253000 | 280000 | 252000 | 259000 | [3C9] | ....
250F28 | 251800 | 253000 | 280000 | 252000 | 259000 | [3CA] | ....
250F2C | 251800 | 253000 | 280000 | 252000 | 259000 | [3CB] | ....
250F30 | 251800 | 253000 | 280000 | 252000 | 259000 | [3CC] | ....
250F34 | 251800 | 253000 | 280000 | 252000 | 259000 | [3CD] | ....
250F38 | 251800 | 253000 | 280000 | 252000 | 259000 | [3CE] | ....
250F3C | 251800 | 253000 | 280000 | 252000 | 259000 | [3CF] | ....
250F40 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D0] | ....
250F44 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D1] | ....
250F48 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D2] | ....
250F4C | 251800 | 253000 | 280000 | 252000 | 259000 | [3D3] | ....
250F50 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D4] | ....
250F54 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D5] | ....
250F58 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D6] | ....
250F5C | 251800 | 253000 | 280000 | 252000 | 259000 | [3D7] | ....
250F60 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D8] | ....
250F64 | 251800 | 253000 | 280000 | 252000 | 259000 | [3D9] | ....
250F68 | 251800 | 253000 | 280000 | 252000 | 259000 | [3DA] | ....
250F6C | 251800 | 253000 | 280000 | 252000 | 259000 | [3DB] | ....
250F70 | 251800 | 253000 | 280000 | 252000 | 259000 | [3DC] | ....
250F74 | 251800 | 253000 | 280000 | 252000 | 259000 | [3DD] | ....
250F78 | 251800 | 253000 | 280000 | 252000 | 259000 | [3DE] | ....
250F7C | 251800 | 253000 | 280000 | 252000 | 259000 | [3DF] | ....
250F80 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E0] | ....
250F84 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E1] | ....
250F88 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E2] | ....
250F8C | 251800 | 253000 | 280000 | 252000 | 259000 | [3E3] | ....
250F90 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E4] | ....
250F94 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E5] | ....
250F98 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E6] | ....
250F9C | 251800 | 253000 | 280000 | 252000 | 259000 | [3E7] | ....
250FA0 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E8] | ....
250FA4 | 251800 | 253000 | 280000 | 252000 | 259000 | [3E9] | ....
250FA8 | 251800 | 253000 | 280000 | 252000 | 259000 | [3EA] | ....
250FAC | 251800 | 253000 | 280000 | 252000 | 259000 | [3EB] | ....
250FB0 | 251800 | 253000 | 280000 | 252000 | 259000 | [3EC] | ....
250FB4 | 251800 | 253000 | 280000 | 252000 | 259000 | [3ED] | ....
250FB8 | 251800 | 253000 | 280000 | 252000 | 259000 | [3EE] | ....
250FBC | 251800 | 253000 | 280000 | 252000 | 259000 | [3EF] | ....
250FC0 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F0] | ....
250FC4 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F1] | ....
250FC8 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F2] | ....
250FCC | 251800 | 253000 | 280000 | 252000 | 259000 | [3F3] | ....
250FD0 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F4] | ....
250FD4 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F5] | ....
250FD8 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F6] | ....
250FDC | 251800 | 253000 | 280000 | 252000 | 259000 | [3F7] | ....
250FE0 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F8] | ....
250FE4 | 251800 | 253000 | 280000 | 252000 | 259000 | [3F9] | ....
250FE8 | 251800 | 253000 | 280000 | 252000 | 259000 | [3FA] | ....
250FEC | 251800 | 253000 | 280000 | 252000 | 259000 | [3FB] | ....
250FF0 | 251800 | 253000 | 280000 | 252000 | 259000 | [3FC] | ....
250FF4 | 251800 | 253000 | 280000 | 252000 | 259000 | [3FD] | ....
250FF8 | 251800 | 253000 | 280000 | 252000 | 259000 | [3FE] | ....
250FFC | 251800 | 253000 | 280000 | 252000 | 259000 | [3FF] | ....
=======================================================================

*************************************
250000 - 250FFF   Object data
*************************************

byte 1,2 (9-bit) - sprite/palette pointer

HOW TO ARRIVE AT OFFSET:

AND pointer by $01FF
    AND'ed value: multiply by 4 and add to 251800 for palette/sprite pointers
AND high byte of same pointer by $0E
determine operator from this list, where AND is value AND'ed by $0E and #$ is corresponding operator
AND  #$
-------
00   00
02   1E
04   3C
06   5A
08   78
0A   96
0C   B4
0E   D2
add #$ for AND'ed value to palette pointer at $251800 (2nd 16-bit word)

C2/7127 BF 00 00 E5 LDA $E50000,x[$E5:06C8] ;load make-up pointer
C2/712B 85 D8       STA $D8    [$00:00D8]   
C2/712D 29 FF 01    AND #$01FF              ;isolate bottom 9 bits
C2/7130 0A          ASL A                   ;multiply x4
C2/7131 0A          ASL A                   
C2/7132 AA          TAX                     
C2/7133 BF 00 18 E5 LDA $E51800,x[$E5:192C] ;load mold
C2/7137 85 DC       STA $DC    [$00:00DC]   
C2/7139 BF 02 18 E5 LDA $E51802,x[$E5:192E] ;load palette pointer
C2/713D A6 D0       LDX $D0    [$00:00D0]   
C2/713F 9F 13 00 40 STA $400013,x[$40:4013] ;store as palette pointer

C2/718B A5 D8       LDA $D8    [$00:00D8]   ;make-up pointer to offset bank pointer
C2/718D EB          XBA                     
C2/718E 29 0E 00    AND #$000E              ;isolate and make number even
C2/7191 AA          TAX                     
C2/7192 BF F0 73 C2 LDA $C273F0,x[$C2:73F4] ;load bank offset pointer
C2/7196 A6 D0       LDX $D0    [$00:00D0]   
C2/7198 E2 20       SEP #$20                
C2/719A 9F 15 00 40 STA $400015,x[$40:4015] ;store as bank offset pointer

C2/88B4 BF 15 00 40 LDA $400015,x[$40:4015] ;load bank offset pointer
C2/88B8 29 FF 00    AND #$00FF              ;isolate
C2/88BB 18          CLC                     
C2/88BC 7F 13 00 40 ADC $400013,x[$40:4013] ;add to palette pointer
C2/88C0 AA          TAX                     
C2/88C1 A9 1D 00    LDA #$001D              ;load palette size
C2/88C4 8B          PHB                     
C2/88C5 54          MVN 00 E5               ;copy palette to ram

GFX OFFSET:
AND #$000F + #$280000 = bank of GFX
AND #$FFF0 + bank = address of GFX

byte 3,4 (16-bit) - animation/mold pointer, multiply x3 and add to $252000 for pointers

*********************************************
251800 - 251FFF   Sprite and Palette pointers
*********************************************

byte 1,2   sprite pointer
byte 3,4   palette pointer (add 'AND $0E' value to this)

*****************************************
252000 - 252FFF   Mold pointers (3 bytes)
*****************************************
